,Q11_r1,Q11_r2,Q11_r3,Q11_r4,Q11_r5,Q11_r6,Q11_r7,Q11_r8,Q11_r9,Q11_r10,Q11_r11,Q11_r12
Q26_r2,0.021562372,-0.011704275,0.000677933,-0.018330244,0.026089649,0.009311189,0.055283808,-0.033588585,-0.044398544,0.009690424,0.014309511,-0.014684196
Q10_r12,0.021330353,-0.037560739,-0.008443792,-0.018566381,-0.010220589,-0.001936416,0.041213437,0.004151045,-0.026882745,-0.022729111,0.001773134,0.027408099
Q10_r19,0.020985439,0.006514613,0.00152758,-0.00036536,-0.014498399,-0.021980654,-0.010480648,0.030569234,-0.016893253,0.003404423,0.016559488,0.033114399
Q22_r23,0.020777355,-0.012728454,0.036709509,0.045586578,-0.049358996,-0.009741722,-0.01565587,0.027567573,0.056625514,0.006687074,-0.043760776,-0.087243815
Q12_r31,0.020715088,-0.01590571,0.012446793,-0.010150912,0.03844857,-0.008763334,0.047530992,-0.000456908,-0.078176919,0.01067126,-0.026187316,0.011560145
Q13_r2,0.020607598,0.029505765,-0.001909787,0.00506453,0.022082897,-0.003788638,0.033973921,-0.038160506,-0.037470179,-0.000841049,-0.019590669,0.000914111
Q6_r2,0.020219575,0.025752282,0.019629215,-0.019131908,-0.0128717,-0.034204746,0.030080104,-0.007239759,-0.021247391,0.000519241,-0.001032223,0.035925134
Q19_r3,0.019998854,0.062401245,-0.003408799,-0.011225499,0.034796968,-0.043665055,0.034082192,-0.036765518,0.009432987,0.04670056,0.034484773,-0.062689339
Q23_r1,0.019912874,-0.004384758,-0.012951178,-0.016074396,-0.006951848,0.001551811,0.063541505,-0.020575083,-0.032847321,-0.000256001,-0.003704573,-3.70E-06
Q10_r9,0.01941844,0.07016543,0.08486714,-0.032879189,-0.020583601,-0.053846888,0.012882493,-0.026459895,0.047870154,0.017252632,0.011378749,-0.02796354
Q2_C3_r3,0.019276237,-0.01172002,0.047731012,0.012152684,0.016285228,-0.047935858,-0.011215881,-0.001597698,0.025602298,0.037102662,0.025430545,-0.059113919
Q2_C1_r2,0.018966947,0.032544706,0.047812007,0.017226735,-0.040352821,0.011344099,-0.059249414,0.006511506,0.112322099,-0.023213314,0.024425101,-0.088258092
Q2_C3_r2,0.018728591,0.078703704,0.043510772,0.041143409,-0.038672051,-0.015047612,-0.054230641,-0.004278144,0.061152268,0.002532789,0.042620431,-0.049387827
Q10_r11,0.018671729,-0.012610357,-0.013266748,-0.003176116,0.020825779,0.005800243,-0.005304312,0.028607096,-0.004073212,0.012719454,0.01324287,-0.036498476
Q22_r13,0.017542499,0.054391218,0.017141834,0.070258377,-0.005243925,-0.020815636,-0.049107209,-0.023014267,0.031596007,0.04565563,-0.010980592,-0.066912268
Q22_r6,0.017145177,0.013028838,0.029572136,0.02093148,-0.001607582,-0.030247495,-0.02767652,-0.007312024,0.07319368,-0.001407175,0.018066192,-0.074721857
Q22_r11,0.017057224,-0.007387411,0.07016477,0.007267877,-0.050985496,-0.027590375,-0.037372084,0.046622917,0.069939847,0.013245625,0.021699943,-0.059163991
Q2_C3_r5,0.016779831,0.026355999,0.021319063,0.0330022,0.038431917,-0.015702889,0.004538943,-0.040169466,-0.000415286,-0.001288305,-0.003447651,-0.055029193
Q13_r4,0.016593707,0.005334847,0.017154873,-0.009424262,-0.04776783,-0.020227982,-0.022612054,0.066262928,0.119520994,-0.021096014,-0.014679497,-0.099455766
Q18_r6,0.015436563,0.016131203,0.012577603,0.029069253,-0.010792788,-0.021708438,0.065710689,-0.026180286,-0.008541705,0.037265049,0.023258743,-0.094932342
Q27_r1,0.0150782,-0.002607418,-0.011365574,-0.002237886,-0.035162012,0.04630657,-0.022715127,0.025185744,0.000710572,-0.022785566,-0.017924176,0.023941122
Q2_C2_r5,0.014933395,-0.006474721,0.024848828,0.040246055,0.032059417,0.008595557,-0.013152929,-0.036523455,0.015465753,-0.010006068,0.040971974,-0.074064599
Q2_C1_r5,0.014625248,0.006392431,0.069056453,0.012509465,-0.003910724,-0.026662958,-0.009349754,-0.025675734,0.009815507,-0.003373561,-0.01373546,-0.004428376
Q12_r24,0.014536648,-0.007585682,0.021027637,0.04979866,-0.015268919,0.039012966,-0.054664562,-0.001473755,0.02596704,-0.022401422,0.019394175,-0.038202026
Q22_r17,0.014447813,0.039285565,0.012918503,0.026994642,0.016736428,-0.030684259,-0.037536578,-0.020432027,0.070952707,0.003567598,-0.00275706,-0.070484967
Q10_r1,0.014259747,-0.049895304,-0.026830222,-0.03515001,0.005615198,0.003376051,0.076954035,-0.010146781,-0.043939702,-0.0271587,-0.037315897,0.033438734
Region_r2,0.013639402,-0.026369949,0.034444238,0.001902522,0.017117583,-0.035309415,0.045384689,-0.043614177,-0.036517234,0.022092185,-0.003000238,0.002095657
Q27_r3,0.013586993,-0.014226518,0.033768433,0.024000974,0.01904923,-0.022632155,0.002928438,-0.020268861,0.021596433,0.023057885,0.046571722,-0.080562688
Q25_r2,0.013583703,0.03471066,-0.026220924,-0.004590358,0.013535627,-0.028698264,0.021860267,0.03056425,0.00377698,-0.026543035,0.016819079,-0.021288054
Q13_r14,0.013492786,-0.010580455,0.059020296,-0.044198501,-0.007477709,-0.003392354,-0.020046868,0.008887397,0.031651373,0.042398155,0.029792954,-0.023217607
Region_r4,0.013481458,0.025806041,-0.003495736,-0.083852529,-0.095087511,-0.012546907,-0.042239122,0.177630947,0.078884578,-0.028038928,-0.000999925,0.031263196
Q17_r6,0.013088711,0.034358556,0.083361183,-0.002620756,-0.014832873,0.095256313,-0.094682363,0.062510945,-0.026081202,0.020634003,-0.01244282,-0.007985183
Q22_r15,0.012427177,0.048705021,0.068137508,0.062494017,-0.06599276,-0.011413241,-0.092953657,0.028050175,0.148116635,-0.011569627,0.036336435,-0.130754351
MRK_Age2_r2,0.01233607,-0.026515635,0.034285838,0.058010869,-0.030184451,0.002768775,-0.059135199,-0.015342387,0.024149602,-0.003312457,-0.017688804,0.004414343
Q16_r7,0.011991707,-0.018529913,-0.012384388,-0.006898728,-0.020849504,0.0089387,-0.021369667,0.050346592,0.002354816,-0.024399892,0.008570567,0.027081802
Oversample_r1,0.011986202,0.004807259,-0.703565914,0.040568702,0.033905541,0.028563518,0.050098567,0.02255763,0.054952132,0.020548921,0.004061533,0.036911302
Q11_r1,1,-0.00576784,-0.01703636,-0.048675093,-0.040680506,-0.034271047,-0.060109203,-0.027065069,-0.065932603,-0.024654982,-0.004873104,-0.044286875
Q11_r2,-0.00576784,1,-0.006832706,-0.019521928,-0.016315571,-0.013744954,-0.024107762,-0.010854881,-0.02644333,-0.009888277,-0.001954437,-0.017761963
Q11_r3,-0.01703636,-0.006832706,1,-0.057661552,-0.048190994,-0.040598212,-0.071206643,-0.032061857,-0.078105165,-0.029206817,-0.005772783,-0.052463176
Q11_r4,-0.048675093,-0.019521928,-0.057661552,1,-0.137687931,-0.115994365,-0.203446627,-0.091604891,-0.223156603,-0.08344767,-0.016493591,-0.149894108
Q11_r5,-0.040680506,-0.016315571,-0.048190994,-0.137687931,1,-0.096943,-0.170031762,-0.076559347,-0.186504494,-0.069741901,-0.01378462,-0.125274916
Q11_r6,-0.034271047,-0.013744954,-0.040598212,-0.115994365,-0.096943,1,-0.143242231,-0.064496959,-0.157119584,-0.058753643,-0.011612769,-0.105537096
Q11_r7,-0.060109203,-0.024107762,-0.071206643,-0.203446627,-0.170031762,-0.143242231,1,-0.113123502,-0.275577607,-0.103050096,-0.020368048,-0.185105253
Q11_r8,-0.027065069,-0.010854881,-0.032061857,-0.091604891,-0.076559347,-0.064496959,-0.113123502,1,-0.124082944,-0.046399849,-0.009171019,-0.083346412
Q11_r9,-0.065932603,-0.02644333,-0.078105165,-0.223156603,-0.186504494,-0.157119584,-0.275577607,-0.124082944,1,-0.113033623,-0.022341311,-0.20303831
Q11_r10,-0.024654982,-0.009888277,-0.029206817,-0.08344767,-0.069741901,-0.058753643,-0.103050096,-0.046399849,-0.113033623,1,-0.008354359,-0.075924592
Q11_r11,-0.004873104,-0.001954437,-0.005772783,-0.016493591,-0.01378462,-0.011612769,-0.020368048,-0.009171019,-0.022341311,-0.008354359,1,-0.01500664
Q11_r12,-0.044286875,-0.017761963,-0.052463176,-0.149894108,-0.125274916,-0.105537096,-0.185105253,-0.083346412,-0.20303831,-0.075924592,-0.01500664,1
Q11_r13,,,,,,,,,,,,
QDevice_r1,0.011927896,-0.012721656,0.01457688,-0.031676219,-0.033500384,-0.048824288,0.054437045,-0.025432704,0.015959357,-0.003998154,0.015161655,0.025817979
Q12_r19,0.011673034,0.020998623,0.022773429,-0.021666801,-0.031558033,-0.006802733,-0.025661159,-0.015486052,-0.008528644,0.062051484,-0.009203754,0.057630956
Q22_r10,0.011027994,0.020127497,0.026206757,0.013105339,-0.025425508,-0.010066946,-0.014427174,0.021155361,0.032709138,0.006244264,-0.005816388,-0.04203346
Q14_r1,0.010833402,0.009971773,0.005631497,0.022277407,-0.000546468,-0.003529112,0.000409538,-0.007272758,0.039342722,0.025807847,0.008424902,-0.09186032
Q22_r21,0.010812585,0.010114869,0.001095979,0.05948378,-0.016594654,-0.009298494,-0.067914585,0.024602128,0.094502322,0.015808229,0.040651793,-0.116567788
Q12_r7,0.010762169,-0.015302359,0.011308327,-0.004539511,-0.023787567,-0.009109738,-0.010378732,0.042532172,0.081070593,0.0013943,-0.003581171,-0.092990577
Q13_r9,0.009773899,-0.004890924,-0.020184986,-0.008310012,-0.001003363,0.051850445,0.048523987,0.019378539,-0.117426654,0.006945976,0.005716914,0.048512774
Q10_r27,0.009237662,0.011734554,0.028541145,0.007471658,0.004649987,-0.010187535,0.039572376,-0.034431756,-0.023287302,-0.054952609,-0.004088034,0.016685624
Q10_r21,0.009219563,0.004439729,0.00133233,-0.020909082,-0.002480916,0.007751259,-0.009154998,-0.004122175,0.003342843,0.002898456,0.052277793,0.015242635
Q12_r3,0.009033276,0.011886691,0.011056968,0.070022054,-0.049614737,-0.005051975,-0.025101581,-0.020314756,0.065678526,0.001414354,-0.00997183,-0.074883458
Q24_r1,0.008616444,-0.004430124,0.0147363,0.063504561,-0.062127821,0.035631869,-0.056322989,0.020253973,0.070948971,-0.002733362,-0.001355473,-0.081999313
Q12_r29,0.007695746,0.003823328,0.005054032,0.011386052,-0.03157719,-0.021674815,-0.022777184,0.042719268,-0.012370832,0.000377373,0.032675676,0.041052279
Q2_C3_r7,0.007462092,0.011215147,-0.006035554,0.001621243,-0.016503413,-0.005987363,0.018056822,0.039458969,0.031562895,-0.001208763,0.024411154,-0.074856905
